Ticker,Sector
APPN,Technology
APPS,Technology
APTV,Consumer Cyclical
AQST,Healthcare
AR,Energy
ARAY,Healthcare
ARCB,Industrials
ARCT,Healthcare
ARDX,Healthcare
ARE,Real Estate
ARES,Financial Services
ARI,Real Estate
ARLO,Industrials
ARMK,Industrials
AROC,Energy
AROW,Financial Services
ARR,Real Estate
ARVN,Healthcare
ARW,Technology
ARWR,Healthcare
ASB,Financial Services
ASC,Industrials
ASGN,Technology
ASH,Basic Materials
ASIX,Basic Materials
ASPN,Industrials
ASTE,Industrials
ASTH,Healthcare
ASUR,Technology
ATEC,Healthcare
ATEN,Technology
ATEX,Communication Services
ATGE,Consumer Defensive
ATI,Industrials
ATKR,Industrials
ATNI,Communication Services
ATO,Utilities
ATR,Healthcare
ATRC,Healthcare
ATRO,Industrials
ATXS,Healthcare
AUB,Financial Services
AUPH,Healthcare
AVA,Utilities
AVAV,Industrials
AVB,Real Estate
AVD,Basic Materials
AVDL,Healthcare
AVGO,Technology
AVNS,Healthcare
AVNT,Basic Materials
AVNW,Technology
AVT,Technology
AVXL,Healthcare
AVY,Consumer Cyclical
AWI,Industrials
AWK,Utilities
AWR,Utilities
AX,Financial Services
AXGN,Healthcare
AXL,Consumer Cyclical
AXON,Industrials
AXP,Financial Services
AXS,Financial Services
AXSM,Healthcare
AXTA,Basic Materials
AYI,Industrials
AZO,Consumer Cyclical
AZTA,Healthcare
AZZ,Industrials
BA,Industrials
BAC,Financial Services
BAH,Industrials
BALL,Consumer Cyclical
BANC,Financial Services
BAND,Technology
BANF,Financial Services
BANR,Financial Services
BATRA,Communication Services
BATRK,Communication Services
BAX,Healthcare
BBSI,Industrials
BBW,Consumer Cyclical
BBWI,Consumer Cyclical
BBY,Consumer Cyclical
BC,Consumer Cyclical
BCAL,Financial Services
BCBP,Financial Services
BCC,Basic Materials
BCML,Financial Services
BCO,Industrials
BCPC,Basic Materials
BCRX,Healthcare
BDC,Technology
BDN,Real Estate
BDX,Healthcare
BE,Industrials
BELFB,Technology
BEN,Financial Services
BFAM,Consumer Cyclical
BFC,Financial Services
BFH,Financial Services
BFS,Real Estate
BFST,Financial Services
BG,Consumer Defensive
BGC,Financial Services
BGS,Consumer Defensive
BHB,Financial Services
BHE,Technology
BHF,Financial Services
BHLB,Financial Services
BHR,Real Estate
BHRB,Financial Services
BIIB,Healthcare
BIO,Healthcare
BJ,Consumer Defensive
BJRI,Consumer Cyclical
BK,Financial Services
BKD,Healthcare
BKE,Consumer Cyclical
BKH,Utilities
BKNG,Consumer Cyclical
BKR,Energy
BKU,Financial Services
BL,Technology
BLBD,Industrials
BLD,Industrials
BLDR,Industrials
BLFS,Healthcare
BLK,Financial Services
BLKB,Technology
BLMN,Consumer Cyclical
BLNK,Industrials
BLX,Financial Services
BMI,Technology
BMRC,Financial Services
BMRN,Healthcare
BMY,Healthcare
BOC,Industrials
BOH,Financial Services
BOKF,Financial Services
BOOM,Industrials
BOOT,Consumer Cyclical
BOX,Technology
BPMC,Healthcare
BPOP,Financial Services
BR,Technology
BRKL,Financial Services
BRKR,Healthcare
BRO,Financial Services
BRSP,Real Estate
BRX,Real Estate
BRY,Energy
BSRR,Financial Services
BSX,Healthcare
BTBT,Financial Services
BTU,Energy
BURL,Consumer Cyclical
BUSE,Financial Services
BV,Industrials
BWA,Consumer Cyclical
BWB,Financial Services
BWXT,Industrials
BX,Financial Services
BXC,Industrials
BXMT,Real Estate
BXP,Real Estate
BY,Financial Services
BYD,Consumer Cyclical
BYON,Consumer Cyclical
BYRN,Industrials
BZH,Consumer Cyclical
C,Financial Services
CABO,Communication Services
CAC,Financial Services
CACC,Financial Services
CACI,Technology
CADE,Financial Services
CAG,Consumer Defensive
CAH,Healthcare
CAKE,Consumer Cyclical
CAL,Consumer Cyclical
CALM,Consumer Defensive
CALX,Technology
CAPR,Healthcare
CAR,Industrials
CARE,Financial Services
CARG,Consumer Cyclical
CARS,Communication Services
CASH,Financial Services
CASS,Industrials
CASY,Consumer Cyclical
CAT,Industrials
CATX,Healthcare
CATY,Financial Services
CB,Financial Services
CBAN,Financial Services
CBOE,Financial Services
CBRE,Real Estate
CBRL,Consumer Cyclical
CBSH,Financial Services
CBT,Basic Materials
CBU,Financial Services
CBZ,Industrials
CC,Basic Materials
CCB,Financial Services
CCBG,Financial Services
CCI,Real Estate
CCK,Consumer Cyclical
CCL,Consumer Cyclical
CCNE,Financial Services
CCO,Communication Services
CCOI,Communication Services
CCRN,Healthcare
CCS,Real Estate
CDE,Basic Materials
CDLX,Communication Services
CDNA,Healthcare
CDNS,Technology
CDP,Real Estate
CDW,Technology
CDXS,Healthcare
CE,Basic Materials
CECO,Industrials
CELC,Healthcare
CELH,Consumer Defensive
CENT,Consumer Defensive
CENTA,Consumer Defensive
CENX,Basic Materials
CERS,Healthcare
CEVA,Technology
CF,Basic Materials
CFFN,Financial Services
CFG,Financial Services
CFR,Financial Services
CG,Financial Services
CGNX,Technology
CHCO,Financial Services
CHCT,Real Estate
CHD,Consumer Defensive
CHDN,Consumer Cyclical
CHE,Healthcare
CHEF,Consumer Defensive
CHGG,Consumer Defensive
CHH,Consumer Cyclical
CHRD,Energy
CHRS,Healthcare
CHRW,Industrials
CHTR,Communication Services
CHX,Energy
CI,Healthcare
CIEN,Technology
CIM,Real Estate
CINF,Financial Services
CIO,Real Estate
CIVB,Financial Services
CIVI,Energy
CL,Consumer Defensive
CLB,Energy
CLBK,Financial Services
CLDT,Real Estate
CLDX,Healthcare
CLF,Basic Materials
CLFD,Technology
CLH,Industrials
CLMB,Technology
CLNE,Energy
CLVT,Technology
CLW,Basic Materials
CLX,Consumer Defensive
CMA,Financial Services
CMC,Basic Materials
CMCL,Basic Materials
CMCO,Industrials
CMCSA,Communication Services
CME,Financial Services
CMG,Consumer Cyclical
CMI,Industrials
CMP,Basic Materials
CMPR,Industrials
CMRE,Industrials
CMS,Utilities
CMT,Basic Materials
CNA,Financial Services
CNC,Healthcare
CNDT,Technology
CNH,Industrials
CNK,Communication Services
CNMD,Healthcare
CNNE,Consumer Cyclical
CNO,Financial Services
CNOB,Financial Services
CNP,Utilities
CNR,Energy
CNS,Financial Services
CNX,Energy
CNXN,Technology
CODI,Industrials
COF,Financial Services
COGT,Healthcare
COHR,Technology
COHU,Technology
COKE,Consumer Defensive
COLB,Financial Services
COLD,Real Estate
COLL,Healthcare
COLM,Consumer Cyclical
COMM,Technology
COO,Healthcare
COOP,Financial Services
COP,Energy
COR,Healthcare
CORT,Healthcare
COST,Consumer Defensive
COTY,Consumer Defensive
CPAY,Technology
CPB,Consumer Defensive
CPF,Financial Services
CPK,Utilities
CPRI,Consumer Cyclical
CPRT,Industrials
CPRX,Healthcare
CPS,Consumer Cyclical
CPT,Real Estate
CRAI,Industrials
CRBP,Healthcare
CRH,Basic Materials
CRI,Consumer Cyclical
CRK,Energy
CRL,Healthcare
CRM,Technology
CRMD,Healthcare
CRMT,Consumer Cyclical
CRNX,Healthcare
CROX,Consumer Cyclical
CRS,Industrials
CRUS,Technology
CRVL,Financial Services
CSCO,Technology
CSGP,Real Estate
CSGS,Technology
CSL,Industrials
CSR,Real Estate
CSTM,Basic Materials
CSV,Consumer Cyclical
CSW,Industrials
CSX,Industrials
CTAS,Industrials
CTBI,Financial Services
CTLP,Technology
CTO,Real Estate
CTOS,Industrials
CTRA,Energy
CTRE,Real Estate
CTS,Technology
CTSH,Technology
CUBE,Real Estate
CUBI,Financial Services
CUZ,Real Estate
CVBF,Financial Services
CVCO,Consumer Cyclical
CVGI,Consumer Cyclical
CVGW,Consumer Defensive
CVI,Energy
CVLG,Industrials
CVLT,Technology
CVNA,Consumer Cyclical
CVS,Healthcare
CVX,Energy
CW,Industrials
CWBC,Financial Services
CWCO,Utilities
CWEN,Utilities
CWH,Consumer Cyclical
CWK,Real Estate
CWST,Industrials
CWT,Utilities
CXT,Industrials
CXW,Industrials
CYH,Healthcare
CYRX,Industrials
CYTK,Healthcare
CZFS,Financial Services
CZNC,Financial Services
CZR,Consumer Cyclical
D,Utilities
DAKT,Technology
DAL,Industrials
DAN,Consumer Cyclical
DAR,Consumer Defensive
DAY,Technology
DBI,Consumer Cyclical
DBRG,Financial Services
DBX,Technology
DCI,Industrials
DCO,Industrials
DCOM,Financial Services
DD,Basic Materials
DDD,Technology
DDS,Consumer Cyclical
DE,Industrials
DEA,Real Estate
DECK,Consumer Cyclical
DEI,Real Estate
DELL,Technology
DENN,Consumer Cyclical
DFIN,Technology
DG,Consumer Defensive
DGICA,Financial Services
DGII,Technology
DGX,Healthcare
DHC,Real Estate
DHI,Consumer Cyclical
DHIL,Financial Services
DHR,Healthcare
DHT,Energy
DIN,Consumer Cyclical
DINO,Energy
DIOD,Technology
DIS,Communication Services
DJCO,Technology
DK,Energy
DKS,Consumer Cyclical
DLB,Industrials
DLR,Real Estate
DLTR,Consumer Defensive
DLX,Industrials
DMRC,Technology
DNLI,Healthcare
DNOW,Industrials
DNTH,Healthcare
DOC,Real Estate
DOCU,Technology
DOMO,Technology
DORM,Consumer Cyclical
DOV,Industrials
DOX,Technology
DPZ,Consumer Cyclical
DRH,Real Estate
DRI,Consumer Cyclical
DRS,Industrials
DSGR,Industrials
DTE,Utilities
DUK,Utilities
DVA,Healthcare
DVAX,Healthcare
DVN,Energy
DX,Real Estate
DXC,Technology
DXCM,Healthcare
DXLG,Consumer Cyclical
DXPE,Industrials
DY,Industrials
EA,Communication Services
EAF,Industrials
EAT,Consumer Cyclical
EB,Communication Services
EBAY,Consumer Cyclical
EBF,Industrials
EBTC,Financial Services
ECL,Basic Materials
ECPG,Financial Services
ECVT,Basic Materials
ED,Utilities
EDIT,Healthcare
EEFT,Technology
EFC,Real Estate
EFSC,Financial Services
EFX,Industrials
EG,Financial Services
EGBN,Financial Services
EGHT,Technology
EGP,Real Estate
EGY,Energy
EHC,Healthcare
EIG,Financial Services
EIX,Utilities
EL,Consumer Defensive
ELAN,Healthcare
ELF,Consumer Defensive
ELME,Real Estate
ELS,Real Estate
ELV,Healthcare
EME,Industrials
EMN,Basic Materials
EMR,Industrials
ENOV,Healthcare
ENPH,Technology
ENR,Industrials
ENS,Industrials
ENSG,Healthcare
ENTA,Healthcare
ENTG,Technology
ENVA,Financial Services
EOG,Energy
EOLS,Healthcare
EPAC,Industrials
EPAM,Technology
EPC,Consumer Defensive
EPM,Energy
EPR,Real Estate
EPRT,Real Estate
EQBK,Financial Services
EQH,Financial Services
EQIX,Real Estate
EQR,Real Estate
EQT,Energy
ERII,Industrials
ES,Utilities
ESE,Technology
ESGR,Financial Services
ESI,Basic Materials
ESNT,Financial Services
ESPR,Healthcare
ESQ,Financial Services
ESRT,Real Estate
ESS,Real Estate
ESTC,Technology
ETD,Consumer Cyclical
ETN,Industrials
ETR,Utilities
ETSY,Consumer Cyclical
EU,Energy
EVC,Communication Services
EVER,Communication Services
EVH,Healthcare
EVR,Financial Services
EVRG,Utilities
EVRI,Consumer Cyclical
EVTC,Technology
EW,Healthcare
EWBC,Financial Services
EXAS,Healthcare
EXC,Utilities
EXEL,Healthcare
EXLS,Technology
EXP,Basic Materials
EXPD,Industrials
EXPE,Consumer Cyclical
EXPI,Real Estate
EXPO,Industrials
EXR,Real Estate
EXTR,Technology
EYE,Consumer Cyclical
EYPT,Healthcare
F,Consumer Cyclical
FAF,Financial Services
FANG,Energy
FARO,Technology
FAST,Industrials
FATE,Healthcare
FBIN,Industrials
FBIZ,Financial Services
FBK,Financial Services
FBNC,Financial Services
FBP,Financial Services
FC,Consumer Defensive
FCBC,Financial Services
FCEL,Industrials
FCF,Financial Services
FCFS,Financial Services
FCN,Industrials
FCNCA,Financial Services
FCPT,Real Estate
FCX,Basic Materials
FDBC,Financial Services
FDP,Consumer Defensive
FDS,Financial Services
FDX,Industrials
FE,Utilities
FELE,Industrials
FERG,Industrials
FFBC,Financial Services
FFIC,Financial Services
FFIN,Financial Services
FFIV,Technology
FFWM,Financial Services
FHB,Financial Services
FHN,Financial Services
FI,Technology
FIBK,Financial Services
FICO,Technology
FIS,Technology
FISI,Financial Services
FITB,Financial Services
FIVE,Consumer Cyclical
FIVN,Technology
FIX,Industrials
FIZZ,Consumer Defensive
FL,Consumer Cyclical
FLG,Financial Services
FLGT,Healthcare
FLO,Consumer Defensive
FLR,Industrials
FLS,Industrials
FLWS,Consumer Cyclical
FMAO,Financial Services
FMBH,Financial Services
FMC,Basic Materials
FMNB,Financial Services
FN,Technology
FNB,Financial Services
FND,Consumer Cyclical
FNF,Financial Services
FNKO,Consumer Cyclical
FNLC,Financial Services
FOLD,Healthcare
FOR,Real Estate
FORM,Technology
FORR,Industrials
FOXF,Consumer Cyclical
FPI,Real Estate
FR,Real Estate
FRBA,Financial Services
FRME,Financial Services
FRPH,Real Estate
FRPT,Consumer Defensive
FRST,Financial Services
FRT,Real Estate
FSBW,Financial Services
FSLR,Technology
FSS,Industrials
FTAI,Industrials
FTDR,Consumer Cyclical
FTI,Energy
FTNT,Technology
FTV,Technology
FUL,Basic Materials
FULT,Financial Services
FUN,Consumer Cyclical
FWONA,Communication Services
FWONK,Communication Services
FWRD,Industrials
G,Technology
GABC,Financial Services
GAP,Consumer Cyclical
GATX,Industrials
GBCI,Financial Services
GBX,Industrials
GCI,Communication Services
GCO,Consumer Cyclical
GD,Industrials
GDDY,Technology
GDEN,Consumer Cyclical
GDOT,Financial Services
GDYN,Technology
GE,Industrials
GEF,Consumer Cyclical
GEN,Technology
GEO,Industrials
GERN,Healthcare
GFF,Industrials
GGG,Industrials
GH,Healthcare
GHC,Consumer Defensive
GHM,Industrials
GIC,Industrials
GIII,Consumer Cyclical
GILD,Healthcare
GIS,Consumer Defensive
GKOS,Healthcare
GL,Financial Services
GLDD,Industrials
GLNG,Energy
GLOB,Technology
GLPI,Real Estate
GLRE,Financial Services
GLW,Technology
GM,Consumer Cyclical
GME,Consumer Cyclical
GMED,Healthcare
GMRE,Real Estate
GMS,Industrials
GNE,Utilities
GNK,Industrials
GNL,Real Estate
GNRC,Industrials
GNTX,Consumer Cyclical
GNTY,Financial Services
GNW,Financial Services
GOGL,Industrials
GOGO,Communication Services
GOLF,Consumer Cyclical
GOOD,Real Estate
GOOG,Communication Services
GOOGL,Communication Services
GPC,Consumer Cyclical
GPI,Consumer Cyclical
GPK,Consumer Cyclical
GPMT,Real Estate
GPN,Industrials
GPRE,Basic Materials
GPRO,Technology
GRBK,Consumer Cyclical
GRC,Industrials
GRMN,Technology
GRWG,Consumer Cyclical
GS,Financial Services
GSAT,Communication Services
GSBC,Financial Services
GSHD,Financial Services
GT,Consumer Cyclical
GTES,Industrials
GTLS,Industrials
GTN,Communication Services
GTY,Real Estate
GVA,Industrials
GWRE,Technology
GWW,Industrials
H,Consumer Cyclical
HAE,Healthcare
HAFC,Financial Services
HAIN,Consumer Defensive
HAL,Energy
HALO,Healthcare
HAS,Consumer Cyclical
HASI,Financial Services
HBAN,Financial Services
HBCP,Financial Services
HBI,Consumer Cyclical
HBNC,Financial Services
HCA,Healthcare
HCC,Basic Materials
HCI,Financial Services
HCKT,Technology
HCSG,Healthcare
HD,Consumer Cyclical
HDSN,Basic Materials
HE,Utilities
HEI,Industrials
HELE,Consumer Defensive
HES,Energy
HFWA,Financial Services
HGV,Consumer Cyclical
HHH,Real Estate
HI,Industrials
HIFS,Financial Services
HIG,Financial Services
HII,Industrials
HIW,Real Estate
HL,Basic Materials
HLF,Consumer Defensive
HLI,Financial Services
HLIO,Industrials
HLIT,Technology
HLNE,Financial Services
HLT,Consumer Cyclical
HLX,Energy
HMN,Financial Services
HMST,Financial Services
HNI,Consumer Cyclical
HNRG,Energy
HOFT,Consumer Cyclical
HOG,Consumer Cyclical
HOLX,Healthcare
HOMB,Financial Services
HON,Industrials
HONE,Financial Services
HOPE,Financial Services
HOUS,Real Estate
HOV,Consumer Cyclical
HP,Energy
HPE,Technology
HPP,Real Estate
HPQ,Technology
HQY,Healthcare
HR,Real Estate
HRB,Consumer Cyclical
HRI,Industrials
HRL,Consumer Defensive
HROW,Healthcare
HRTG,Financial Services
HRTX,Healthcare
HSIC,Healthcare
HSII,Industrials
HST,Real Estate
HSTM,Healthcare
HSY,Consumer Defensive
HTB,Financial Services
HTBK,Financial Services
HTH,Financial Services
HTLD,Industrials
HTO,Utilities
HUBB,Industrials
HUBG,Industrials
HUBS,Technology
HUM,Healthcare
HUN,Basic Materials
HURN,Industrials
HUT,Financial Services
HVT,Consumer Cyclical
HWC,Financial Services
HWKN,Basic Materials
HWM,Industrials
HXL,Industrials
HY,Industrials
HZO,Consumer Cyclical
IAC,Communication Services
IART,Healthcare
IBCP,Financial Services
IBKR,Financial Services
IBM,Technology
IBOC,Financial Services
IBP,Consumer Cyclical
IBRX,Healthcare
ICE,Financial Services
ICFI,Industrials
ICHR,Technology
ICUI,Healthcare
IDA,Utilities
IDCC,Technology
IDT,Communication Services
IDXX,Healthcare
IESC,Industrials
IEX,Industrials
IFF,Basic Materials
IGT,Consumer Cyclical
IIIN,Industrials
IIIV,Technology
IIPR,Real Estate
ILMN,Healthcare
ILPT,Real Estate
IMAX,Communication Services
IMKTA,Consumer Defensive
IMMR,Technology
IMXI,Technology
INBK,Financial Services
INCY,Healthcare
INDB,Financial Services
INGN,Healthcare
INGR,Consumer Defensive
INN,Real Estate
INO,Healthcare
INOD,Technology
INSE,Consumer Cyclical
INSM,Healthcare
INSP,Healthcare
INSW,Energy
INTC,Technology
INTU,Technology
INVA,Healthcare
INVH,Real Estate
INVX,Energy
IONS,Healthcare
IOSP,Basic Materials
IOVA,Healthcare
IP,Consumer Cyclical
IPAR,Consumer Defensive
IPG,Communication Services
IPGP,Technology
IPI,Basic Materials
IQV,Healthcare
IR,Industrials
IRBT,Consumer Cyclical
IRDM,Communication Services
IRM,Real Estate
IRMD,Healthcare
IRT,Real Estate
IRTC,Healthcare
IRWD,Healthcare
ISRG,Healthcare
IT,Technology
ITGR,Healthcare
ITIC,Financial Services
ITRI,Technology
ITT,Industrials
ITW,Industrials
IVR,Real Estate
IVT,Real Estate
IVZ,Financial Services
J,Industrials
JACK,Consumer Cyclical
JAKK,Consumer Cyclical
JAZZ,Healthcare
JBGS,Real Estate
JBHT,Industrials
JBL,Technology
JBLU,Industrials
JBSS,Consumer Defensive
JBTM,Industrials
JCI,Industrials
JEF,Financial Services
JELD,Industrials
JHG,Financial Services
JJSF,Consumer Defensive
JKHY,Technology
JLL,Real Estate
JMSB,Financial Services
JNJ,Healthcare
JNPR,Technology
JOE,Real Estate
JOUT,Consumer Cyclical
JPM,Financial Services
JRVR,Financial Services
K,Consumer Defensive
KAI,Industrials
KALU,Basic Materials
KALV,Healthcare
KAR,Consumer Cyclical
KBH,Consumer Cyclical
KBR,Industrials
KDP,Consumer Defensive
KE,Industrials
KELYA,Industrials
KEX,Industrials
KEY,Financial Services
KEYS,Technology
KFRC,Industrials
KFY,Industrials
KHC,Consumer Defensive
KIDS,Healthcare
KIM,Real Estate
KKR,Financial Services
KLAC,Technology
KLIC,Technology
KMB,Consumer Defensive
KMI,Energy
KMPR,Financial Services
KMT,Industrials
KMX,Consumer Cyclical
KN,Technology
KNSA,Healthcare
KNSL,Financial Services
KNTK,Energy
KNX,Industrials
KO,Consumer Defensive
KOD,Healthcare
KODK,Industrials
KOP,Basic Materials
KOS,Energy
KR,Consumer Defensive
KRC,Real Estate
KREF,Real Estate
KRG,Real Estate
KRNY,Financial Services
KRYS,Healthcare
KSS,Consumer Cyclical
KTOS,Industrials
KURA,Healthcare
KW,Real Estate
KWR,Basic Materials
L,Financial Services
LAB,Healthcare
LAD,Consumer Cyclical
LADR,Real Estate
LAMR,Real Estate
LANC,Consumer Defensive
LAND,Real Estate
LASR,Technology
LAUR,Consumer Defensive
LAZ,Financial Services
LBRDA,Communication Services
LBRDK,Communication Services
LBRT,Energy
LBTYA,Communication Services
LBTYK,Communication Services
LC,Financial Services
LCII,Consumer Cyclical
LDOS,Technology
LEA,Consumer Cyclical
LECO,Industrials
LEG,Consumer Cyclical
LEN,Consumer Cyclical
LEU,Energy
LFUS,Technology
LGIH,Consumer Cyclical
LGND,Healthcare
LH,Healthcare
LHX,Industrials
LII,Industrials
LILA,Communication Services
LILAK,Communication Services
LIN,Basic Materials
LINC,Consumer Defensive
LIND,Consumer Cyclical
LITE,Technology
LIVN,Healthcare
LKFN,Financial Services
LKQ,Consumer Cyclical
LLY,Healthcare
LMAT,Healthcare
LMB,Industrials
LMNR,Consumer Defensive
LMT,Industrials
LNC,Financial Services
LNG,Energy
LNN,Industrials
LNT,Utilities
LNTH,Healthcare
LNW,Consumer Cyclical
LOB,Financial Services
LOCO,Consumer Cyclical
LOPE,Consumer Defensive
LOVE,Consumer Cyclical
LOW,Consumer Cyclical
LPG,Energy
LPLA,Financial Services
LPRO,Financial Services
LPX,Industrials
LQDA,Healthcare
LQDT,Consumer Cyclical
LRCX,Technology
LRMR,Healthcare
LRN,Consumer Defensive
LSCC,Technology
LSEA,Real Estate
LSTR,Industrials
LTC,Real Estate
LULU,Consumer Cyclical
LUMN,Communication Services
LUV,Industrials
LVS,Consumer Cyclical
LW,Consumer Defensive
LWLG,Basic Materials
LXFR,Industrials
LXP,Real Estate
LXRX,Healthcare
LXU,Basic Materials
LYB,Basic Materials
LYTS,Technology
LYV,Communication Services
LZB,Consumer Cyclical
M,Consumer Cyclical
MA,Financial Services
MAA,Real Estate
MAC,Real Estate
MAN,Industrials
MANH,Technology
MAR,Consumer Cyclical
MARA,Financial Services
MAS,Industrials
MASI,Healthcare
MAT,Consumer Cyclical
MATV,Basic Materials
MATW,Industrials
MATX,Industrials
MBCN,Financial Services
MBI,Financial Services
MBIN,Financial Services
MBUU,Consumer Cyclical
MBWM,Financial Services
MC,Financial Services
MCB,Financial Services
MCD,Consumer Cyclical
MCFT,Consumer Cyclical
MCHP,Technology
MCK,Healthcare
MCO,Financial Services
MCRI,Consumer Cyclical
MCS,Communication Services
MCY,Financial Services
MD,Healthcare
MDB,Technology
MDGL,Healthcare
MDLZ,Consumer Defensive
MDT,Healthcare
MDU,Industrials
MDXG,Healthcare
MED,Consumer Cyclical
MEDP,Healthcare
MEI,Technology
MET,Financial Services
META,Communication Services
METC,Basic Materials
MFA,Real Estate
MGEE,Utilities
MGM,Consumer Cyclical
MGNI,Communication Services
MGNX,Healthcare
MGPI,Consumer Defensive
MGRC,Industrials
MGTX,Healthcare
MGY,Energy
MHK,Consumer Cyclical
MHO,Consumer Cyclical
MIDD,Industrials
MITK,Technology
MKC,Consumer Defensive
MKL,Financial Services
MKSI,Technology
MKTX,Financial Services
MLAB,Technology
MLI,Industrials
MLKN,Consumer Cyclical
MLM,Basic Materials
MLR,Consumer Cyclical
MMC,Financial Services
MMI,Real Estate
MMM,Industrials
MMS,Industrials
MMSI,Healthcare
MNKD,Healthcare
MNMD,Healthcare
MNRO,Consumer Cyclical
MNST,Consumer Defensive
MO,Consumer Defensive
MOD,Consumer Cyclical
MODG,Consumer Cyclical
MODV,Healthcare
MOFG,Financial Services
MOH,Healthcare
MORN,Financial Services
MOS,Basic Materials
MOV,Consumer Cyclical
MPB,Financial Services
MPC,Energy
MPW,Real Estate
MPWR,Technology
MRC,Energy
MRCY,Industrials
MRK,Healthcare
MRSN,Healthcare
MRTN,Industrials
MRVL,Technology
MS,Financial Services
MSA,Industrials
MSBI,Financial Services
MSCI,Financial Services
MSEX,Utilities
MSFT,Technology
MSGS,Communication Services
MSI,Technology
MSM,Industrials
MSTR,Technology
MTB,Financial Services
MTCH,Communication Services
MTD,Healthcare
MTDR,Energy
MTG,Financial Services
MTH,Consumer Cyclical
MTN,Consumer Cyclical
MTRN,Basic Materials
MTSI,Technology
MTUS,Basic Materials
MTW,Industrials
MTX,Basic Materials
MTZ,Industrials
MU,Technology
MUR,Energy
MUSA,Consumer Cyclical
MVBF,Financial Services
MVIS,Technology
MWA,Industrials
MXL,Technology
MYE,Consumer Cyclical
MYGN,Healthcare
MYRG,Industrials
NAGE,Healthcare
NAT,Energy
NAVI,Financial Services
NBHC,Financial Services
NBIX,Healthcare
NBN,Financial Services
NBR,Energy
NBTB,Financial Services
NCLH,Consumer Cyclical
NCMI,Communication Services
NDAQ,Financial Services
NDSN,Industrials
NECB,Financial Services
NEE,Utilities
NEM,Basic Materials
NEO,Healthcare
NEOG,Healthcare
NEU,Basic Materials
NEWT,Financial Services
NEXT,Energy
NFBK,Financial Services
NFG,Energy
NFLX,Communication Services
NG,Basic Materials
NGNE,Healthcare
NGVC,Consumer Defensive
NGVT,Basic Materials
NHC,Healthcare
NHI,Real Estate
NI,Utilities
NIC,Financial Services
NJR,Utilities
NKE,Consumer Cyclical
NLY,Real Estate
NMIH,Financial Services
NMRK,Real Estate
NNI,Financial Services
NNN,Real Estate
